theta,F
0.642,110881
0.645,110881
0.648,110522
0.651,110522
0.654,110248
0.657,110248
0.66,109907
0.663,109907
0.666,109907
0.669,109788
0.672,109788
0.675,109788
0.678,109504
0.681,109504
0.684,109504
0.687,109504
0.69,109530
0.693,109530
0.696,109530
0.699,109137
0.702,109137
0.705,109137
0.708,109137
0.711,109137
0.714,109137
0.717,109137
0.72,109137
0.723,109137
0.726,109137
0.729,109137
0.732,109137
0.735,109137
0.738,108723
0.741,108723
0.744,108723
0.747,108723
0.75,108723
0.753,108723
0.756,108647
0.759,108647
0.762,108647
0.765,108647
0.768,108647
0.771,108647
0.774,108647
0.777,108647
0.78,108647
0.783,108647
0.786,108647
0.789,108647
0.792,108647
0.795,108647
0.798,108647
0.801,108647
0.804,108647
0.807,108647
0.81,108647
0.813,108647
0.816,108647
0.819,108647
0.822,108647
0.825,108647
0.828,108647
0.831,108647
0.834,108647
0.837,108647
0.84,108647
0.843,108647
0.846,108647
0.849,108647
0.852,108647
0.855,108647
0.858,108647
0.861,108647
0.864,108647
0.867,108647
0.87,108647
0.873,108647
0.876,108647
0.879,108647
0.882,108647
0.885,108647
0.888,108647
0.891,108647
0.894,108647
0.897,108647
0.9,108647
0.903,108647
0.906,108526
0.909,108526
0.912,108526
0.915,108526
0.918,108526
0.921,108526
0.924,108526
0.927,108526
0.93,108526
0.933,108526
0.936,108526
0.939,108526
0.942,108526
0.945,108526
0.948,108526
0.951,108526
0.954,108526
0.957,108526
0.96,108526
0.963,108526
0.966,108526
0.969,108526
0.972,108526
0.975,108526
0.978,108526
0.981,108526
0.984,108526
0.987,108526
0.99,108526
0.993,108526
0.996,108526
0.999,108526
1.002,108526
1.005,108526
1.008,108526
1.011,108526
1.014,108526
1.017,108526
1.02,108526
1.023,108526
1.026,108526
1.029,108526
1.032,108526
1.035,108526
1.038,108526
1.041,108526
1.044,108526
1.047,108526
1.05,108526
1.053,108526
1.056,108526
1.059,108526
1.062,108526
1.065,108526
1.068,108526
1.071,108526
1.074,108526
1.077,108526
1.08,108526
1.083,108526
1.086,108526
1.089,108526
1.092,108526
1.095,108526
1.098,108526
1.101,108526
1.104,108526
1.107,108526
1.11,108526
1.113,108526
1.116,108526
1.119,108526
1.122,108526
1.125,108526
1.128,108526
1.131,108526
1.134,108526
1.137,108526
1.14,108526
1.143,108526
1.146,108526
1.149,108526
1.152,108526
1.155,108526
1.158,108526
1.161,108526
1.164,108526
1.167,108526
1.17,108526
1.173,108526
1.176,108526
1.179,108526
1.182,108526
1.185,108526
1.188,108526
1.191,108526
1.194,108526
1.197,108526
1.2,108526
1.203,108526
1.206,108526
1.209,108526
1.212,108526
1.215,108526
1.218,108526
1.221,108526
1.224,108526
1.227,108526
1.23,108526
1.233,108526
1.236,108526
1.239,108526
1.242,108526
1.245,108526
1.248,108526
1.251,108526
1.254,108526
1.257,108526
1.26,98562.4
1.263,98562.4
1.266,98562.4
1.269,98562.4
1.272,98562.4
1.275,98562.4
1.278,98562.4
1.281,98562.4
1.284,98562.4
1.287,98562.4
1.29,98562.4
1.293,98562.4
1.296,98562.4
1.299,98562.4
1.302,98562.4
1.305,98562.4
1.308,98562.4
1.311,98562.4
1.314,98562.4
1.317,98562.4
1.32,98562.4
1.323,98562.4
1.326,98562.4
1.329,98562.4
1.332,98562.4
1.335,98562.4
1.338,98562.4
1.341,98562.4
1.344,98562.4
1.347,98562.4
1.35,98562.4
1.353,98562.4
1.356,98562.4
1.359,98562.4
1.362,98562.4
1.365,98562.4
1.368,98562.4
1.371,98562.4
1.374,98562.4
1.377,98562.4
1.38,98562.4
1.383,98562.4
1.386,98562.4
1.389,98562.4
1.392,98562.4
1.395,98562.4
1.398,98562.4
1.401,98562.4
1.404,98562.4
1.407,98562.4
1.41,98562.4
1.413,98562.4
1.416,98562.4
1.419,98562.4
1.422,98562.4
1.425,96113.2
1.428,96113.2
1.431,96113.2
1.434,96113.2
1.437,96113.2
1.44,96113.2
1.443,96113.2
1.446,96113.2
1.449,96113.2
1.452,96113.2
1.455,96113.2
1.458,96113.2
1.461,96113.2
1.464,96113.2
1.467,96113.2
1.47,96113.2
1.473,96113.2
1.476,96113.2
1.479,96113.2
1.482,96113.2
1.485,96113.2
1.488,96113.2
1.491,96113.2
1.494,96113.2
1.497,96113.2
1.5,96113.2
1.503,96113.2
1.506,96113.2
1.509,96113.2
1.512,60504.9
1.515,60504.9
1.518,60504.9
1.521,60504.9
1.524,60504.9
1.527,60504.9
1.53,60504.9
1.533,60504.9
1.536,60504.9
1.539,60504.9
1.542,60504.9
1.545,60504.9
1.548,60504.9
1.551,60504.9
1.554,60504.9
1.557,60504.9
1.56,60504.9
1.563,60504.9
1.566,60504.9
1.569,60504.9
1.572,60504.9
1.575,60504.9
1.578,60504.9
1.581,60504.9
1.584,60504.9
1.587,60504.9
1.59,60504.9
1.593,60504.9
1.596,60504.9
1.599,60504.9
1.602,60504.9
1.605,60504.9
1.608,60504.9
1.611,25951.4
1.614,25951.4
1.617,25951.4
1.62,25951.4
1.623,25951.4
1.626,25951.4
1.629,25951.4
1.632,25951.4
1.635,25951.4
1.638,25951.4
1.641,25951.4
1.644,25951.4
1.647,25951.4
1.65,25951.4
1.653,25951.4
1.656,25951.4
1.659,25951.4
1.662,25951.4
1.665,25951.4
1.668,25951.4
1.671,25951.4
1.674,25951.4
1.677,25951.4
1.68,25951.4
1.683,25951.4
1.686,25951.4
1.689,25951.4
1.692,25951.4
1.695,25951.4
1.698,25951.4
1.701,25951.4
1.704,25951.4
1.707,25951.4
1.71,25951.4
1.713,25951.4
1.716,25951.4
1.719,25951.4
1.722,25951.4
1.725,25951.4
1.728,25951.4
1.731,25951.4
1.734,25951.4
1.737,25951.4
1.74,25951.4
1.743,25951.4
1.746,25951.4
1.749,25951.4
1.752,25951.4
1.755,25951.4
1.758,25951.4
1.761,25951.4
1.764,25951.4
1.767,25951.4
1.77,25951.4
1.773,25951.4
1.776,25951.4
1.779,25951.4
1.782,25951.4
1.785,25951.4
1.788,25951.4
1.791,25951.4
1.794,25951.4
1.797,25951.4
1.8,25951.4
1.803,25951.4
1.806,25951.4
1.809,25951.4
1.812,25951.4
1.815,25951.4
1.818,25951.4
1.821,25951.4
1.824,25951.4
1.827,25951.4
1.83,25951.4
1.833,25951.4
1.836,25951.4
1.839,25951.4
1.842,25951.4
1.845,25951.4
1.848,25951.4
1.851,25951.4
1.854,25951.4
1.857,25951.4
1.86,25951.4
1.863,25951.4
1.866,25951.4
1.869,25951.4
1.872,25951.4
1.875,25951.4
1.878,25951.4
1.881,25951.4
1.884,25951.4
1.887,25951.4
1.89,25951.4
1.893,25951.4
1.896,25951.4
1.899,25951.4
1.902,25951.4
1.905,25951.4
1.908,25951.4
1.911,25951.4
1.914,25951.4
1.917,25951.4
1.92,25951.4
1.923,25951.4
1.926,25951.4
1.929,25951.4
1.932,25951.4
1.935,25951.4
1.938,25951.4
1.941,25951.4
1.944,25951.4
1.947,25951.4
1.95,25951.4
1.953,25951.4
1.956,25951.4
1.959,25951.4
1.962,25951.4
1.965,25951.4
1.968,25951.4
1.971,25951.4
1.974,25951.4
1.977,25951.4
1.98,25951.4
1.983,25951.4
1.986,25951.4
1.989,25951.4
1.992,25951.4
1.995,25951.4
1.998,25951.4
2.001,25951.4
2.004,25951.4
2.007,25951.4
2.01,25951.4
2.013,25951.4
2.016,25951.4
2.019,25951.4
2.022,25951.4
2.025,25951.4
2.028,25951.4
2.031,25951.4
2.034,25951.4
2.037,25951.4
2.04,25951.4
2.043,25951.4
2.046,25951.4
2.049,25951.4
2.052,25951.4
2.055,25951.4
2.058,25951.4
2.061,25951.4
2.064,25951.4
2.067,25951.4
2.07,25951.4
2.073,25951.4
2.076,25951.4
2.079,25951.4
2.082,25951.4
2.085,25951.4
2.088,25951.4
2.091,25951.4
2.094,25951.4
2.097,25951.4
2.1,25951.4
2.103,25951.4
2.106,25951.4
2.109,25951.4
2.112,25951.4
2.115,25951.4
2.118,25951.4
2.121,25951.4
2.124,25951.4
2.127,25951.4
2.13,25951.4
2.133,25951.4
2.136,25951.4
2.139,25951.4
2.142,25951.4
2.145,25951.4
2.148,25951.4
2.151,25951.4
2.154,25951.4
2.157,25951.4
2.16,25951.4
2.163,25951.4
2.166,25951.4
2.169,25951.4
2.172,25951.4
2.175,25951.4
2.178,25951.4
2.181,25951.4
2.184,25951.4
2.187,25951.4
2.19,25951.4
2.193,25951.4
2.196,25951.4
2.199,25951.4
2.202,25951.4
2.205,25951.4
2.208,25951.4
2.211,25951.4
2.214,25951.4
2.217,25951.4
2.22,25951.4
2.223,25951.4
2.226,25951.4
2.229,25951.4
2.232,25951.4
2.235,25951.4
2.238,25951.4
2.241,25951.4
2.244,25951.4
2.247,25951.4
2.25,25951.4
2.253,25951.4
2.256,25951.4
2.259,25951.4
2.262,25951.4
2.265,25951.4
2.268,25951.4
2.271,25951.4
2.274,25951.4
2.277,25951.4
2.28,25951.4
2.283,25951.4
2.286,25951.4
2.289,25951.4
2.292,25951.4
2.295,25951.4
2.298,25951.4
2.301,25951.4
2.304,25951.4
2.307,25951.4
2.31,25951.4
2.313,25951.4
2.316,25951.4
2.319,25951.4
2.322,25951.4
2.325,25951.4
2.328,25951.4
2.331,25951.4
2.334,25951.4
2.337,25951.4
2.34,25951.4
2.343,25951.4
2.346,25951.4
2.349,25951.4
2.352,25951.4
2.355,25951.4
2.358,25951.4
2.361,25951.4
2.364,25951.4
2.367,25951.4
2.37,25951.4
2.373,25951.4
2.376,25951.4
2.379,25951.4
2.382,25951.4
2.385,25951.4
2.388,25951.4
2.391,25951.4
2.394,25951.4
2.397,25951.4
2.4,25951.4
2.403,25951.4
2.406,25951.4
2.409,25951.4
2.412,25951.4
2.415,25951.4
2.418,25951.4
2.421,25951.4
2.424,25951.4
2.427,25951.4
2.43,25951.4
2.433,25951.4
2.436,25951.4
2.439,25951.4
2.442,25951.4
2.445,25951.4
2.448,25951.4
2.451,25951.4
2.454,25951.4
2.457,25951.4
2.46,25951.4
2.463,25951.4
2.466,25951.4
2.469,25951.4
2.472,25951.4
2.475,25951.4
2.478,25951.4
2.481,25951.4
2.484,25951.4
2.487,25951.4
2.49,25951.4
2.493,25951.4
2.496,25951.4
2.499,25951.4
2.502,25951.4
2.505,25951.4
2.508,25951.4
2.511,25951.4
2.514,25951.4
2.517,25951.4
2.52,25951.4
2.523,25951.4
2.526,25951.4
2.529,25951.4
2.532,25951.4
2.535,25951.4
2.538,25951.4
2.541,25951.4
2.544,25951.4
2.547,25951.4
2.55,25951.4
2.553,25951.4
2.556,25951.4
2.559,25951.4
2.562,25951.4
2.565,25951.4
2.568,25951.4
2.571,25951.4
2.574,25951.4
2.577,25951.4
2.58,25951.4
2.583,25951.4
2.586,25951.4
2.589,25951.4
2.592,25951.4
2.595,25951.4
2.598,25951.4
2.601,25951.4
2.604,25951.4
2.607,25951.4
2.61,25951.4
2.613,25951.4
2.616,25951.4
2.619,25951.4
2.622,25951.4
2.625,25951.4
2.628,25951.4
2.631,25951.4
2.634,25951.4
2.637,25951.4
2.64,25951.4
2.643,25951.4
2.646,25951.4
2.649,25951.4
2.652,25951.4
2.655,25951.4
2.658,25951.4
2.661,25951.4
2.664,25951.4
2.667,25951.4
2.67,25951.4
2.673,25951.4
2.676,25951.4
2.679,25951.4
2.682,25951.4
2.685,25951.4
2.688,25951.4
2.691,25951.4
2.694,25951.4
2.697,25951.4
2.7,25951.4
2.703,25951.4
2.706,25951.4
2.709,25951.4
2.712,25951.4
2.715,25951.4
2.718,25951.4
2.721,25951.4
2.724,25951.4
2.727,25951.4
2.73,25951.4
2.733,25951.4
2.736,25951.4
2.739,25951.4
2.742,25951.4
2.745,25951.4
2.748,25951.4
2.751,25951.4
2.754,25951.4
2.757,25951.4
2.76,25951.4
2.763,25951.4
2.766,25951.4
2.769,25951.4
2.772,25951.4
2.775,25951.4
2.778,25951.4
2.781,25951.4
2.784,25951.4
2.787,25951.4
2.79,25951.4
2.793,25951.4
2.796,25951.4
2.799,25951.4
2.802,25951.4
2.805,25951.4
2.808,25951.4
2.811,25951.4
2.814,25951.4
2.817,25951.4
2.82,25951.4
2.823,25951.4
2.826,25951.4
2.829,25951.4
2.832,25951.4
2.835,25951.4
2.838,25951.4
2.841,25951.4
2.844,25951.4
2.847,25951.4
2.85,25951.4
2.853,25951.4
2.856,25951.4
2.859,25951.4
2.862,25951.4
2.865,25951.4
2.868,25951.4
2.871,25951.4
2.874,25951.4
2.877,25951.4
2.88,25951.4
2.883,25951.4
2.886,25951.4
2.889,25951.4
2.892,25951.4
2.895,25951.4
2.898,25951.4
2.901,25951.4
2.904,25951.4
2.907,25951.4
2.91,25951.4
2.913,25951.4
2.916,25951.4
2.919,25951.4
2.922,25951.4
2.925,25951.4
2.928,25951.4
2.931,25951.4
2.934,25951.4
2.937,25951.4
2.94,25951.4
2.943,25951.4
2.946,25951.4
2.949,25951.4
2.952,25951.4
2.955,25951.4
2.958,25951.4
2.961,25951.4
2.964,25951.4
2.967,25951.4
2.97,25951.4
2.973,25951.4
2.976,25951.4
2.979,25951.4
2.982,25951.4
2.985,25951.4
2.988,25951.4
2.991,25951.4
2.994,25951.4
2.997,25951.4
3,25951.4
