theta,F
1.452,21.605
1.455,21.605
1.458,21.605
1.461,21.605
1.464,21.605
1.467,21.605
1.47,21.605
1.473,21.605
1.476,21.605
1.479,21.605
1.482,21.605
1.485,21.605
1.488,21.605
1.491,21.605
1.494,21.605
1.497,21.605
1.5,21.605
1.503,21.605
1.506,21.605
1.509,21.605
1.512,21.605
1.515,21.605
1.518,21.605
1.521,21.605
1.524,21.605
1.527,21.605
1.53,21.605
1.533,21.605
1.536,21.605
1.539,21.605
1.542,21.605
1.545,21.605
1.548,21.605
1.551,21.605
1.554,21.605
1.557,21.605
1.56,21.605
1.563,21.605
1.566,21.605
1.569,21.605
1.572,21.605
1.575,21.605
1.578,21.605
1.581,21.605
1.584,21.605
1.587,21.605
1.59,21.605
1.593,21.605
1.596,21.605
1.599,21.605
1.602,21.605
1.605,21.605
1.608,21.605
1.611,21.605
1.614,21.605
1.617,21.605
1.62,21.605
1.623,21.605
1.626,21.605
1.629,21.605
1.632,21.605
1.635,21.605
1.638,21.605
1.641,21.605
1.644,21.605
1.647,21.605
1.65,21.605
1.653,21.605
1.656,21.605
1.659,21.605
1.662,21.605
1.665,21.605
1.668,21.605
1.671,21.605
1.674,21.605
1.677,21.605
1.68,21.605
1.683,21.605
1.686,21.605
1.689,21.605
1.692,21.605
1.695,21.605
1.698,21.605
1.701,21.605
1.704,21.605
1.707,21.605
1.71,21.605
1.713,21.605
1.716,21.605
1.719,21.605
1.722,21.605
1.725,21.605
1.728,21.605
1.731,21.605
1.734,21.605
1.737,21.605
1.74,21.605
1.743,21.605
1.746,21.605
1.749,21.605
1.752,21.605
1.755,21.605
1.758,21.605
1.761,21.605
1.764,21.605
1.767,21.605
1.77,21.605
1.773,21.605
1.776,21.605
1.779,21.605
1.782,21.605
1.785,21.605
1.788,21.605
1.791,21.605
1.794,21.605
1.797,21.605
1.8,21.605
1.803,21.605
1.806,21.605
1.809,21.605
1.812,21.605
1.815,21.605
1.818,21.605
1.821,21.605
1.824,21.605
1.827,21.605
1.83,21.605
1.833,21.605
1.836,21.605
1.839,21.605
1.842,21.605
1.845,21.605
1.848,21.605
1.851,21.605
1.854,21.605
1.857,21.605
1.86,21.605
1.863,21.605
1.866,21.605
1.869,21.605
1.872,21.605
1.875,21.605
1.878,21.605
1.881,21.605
1.884,21.605
1.887,21.605
1.89,21.605
1.893,21.605
1.896,21.605
1.899,21.605
1.902,21.605
1.905,21.605
1.908,21.605
1.911,21.605
1.914,21.605
1.917,21.605
1.92,21.605
1.923,21.605
1.926,21.605
1.929,21.605
1.932,21.605
1.935,21.605
1.938,21.605
1.941,21.605
1.944,21.605
1.947,21.605
1.95,21.605
1.953,21.605
1.956,21.605
1.959,21.605
1.962,21.605
1.965,21.605
1.968,21.605
1.971,21.605
1.974,21.605
1.977,21.605
1.98,21.605
1.983,21.605
1.986,21.605
1.989,21.605
1.992,21.605
1.995,21.605
1.998,21.605
2.001,21.605
2.004,21.605
2.007,21.605
2.01,21.605
2.013,21.605
2.016,21.605
2.019,21.605
2.022,21.605
2.025,21.605
2.028,21.605
2.031,21.605
2.034,21.605
2.037,21.605
2.04,21.605
2.043,21.605
2.046,21.605
2.049,21.605
2.052,21.605
2.055,21.605
2.058,21.605
2.061,21.605
2.064,21.605
2.067,21.605
2.07,21.605
2.073,21.605
2.076,21.605
2.079,21.605
2.082,21.605
2.085,21.605
2.088,21.605
2.091,21.605
2.094,21.605
2.097,21.605
2.1,21.605
2.103,21.605
2.106,21.605
2.109,21.605
2.112,21.605
2.115,21.605
2.118,21.605
2.121,21.605
2.124,21.605
2.127,21.605
2.13,21.605
2.133,21.605
2.136,21.605
2.139,21.605
2.142,21.605
2.145,21.605
2.148,21.605
2.151,21.605
2.154,21.605
2.157,21.605
2.16,21.605
2.163,21.605
2.166,21.605
2.169,21.605
2.172,21.605
2.175,21.605
2.178,21.605
2.181,21.605
2.184,21.605
2.187,21.605
2.19,21.605
2.193,21.605
2.196,21.605
2.199,21.605
2.202,21.605
2.205,21.605
2.208,21.605
2.211,21.605
2.214,21.605
2.217,21.605
2.22,21.605
2.223,21.605
2.226,21.605
2.229,21.605
2.232,21.605
2.235,21.605
2.238,21.605
2.241,21.605
2.244,21.605
2.247,21.605
2.25,21.605
2.253,21.605
2.256,21.605
2.259,21.605
2.262,21.605
2.265,21.605
2.268,21.605
2.271,21.605
2.274,21.605
2.277,21.605
2.28,21.605
2.283,21.605
2.286,21.605
2.289,21.605
2.292,21.605
2.295,21.605
2.298,21.605
2.301,21.605
2.304,21.605
2.307,21.605
2.31,21.605
2.313,21.605
2.316,21.605
2.319,21.605
2.322,21.605
2.325,21.605
2.328,21.605
2.331,21.605
2.334,21.605
2.337,21.605
2.34,21.605
2.343,21.605
2.346,21.605
2.349,21.605
2.352,21.605
2.355,21.605
2.358,21.605
2.361,21.605
2.364,21.605
2.367,21.605
2.37,21.605
2.373,21.605
2.376,21.605
2.379,21.605
2.382,21.605
2.385,21.605
2.388,21.605
2.391,21.605
2.394,21.605
2.397,21.605
2.4,21.605
2.403,21.605
2.406,21.605
2.409,21.605
2.412,21.605
2.415,21.605
2.418,21.605
2.421,21.605
2.424,21.605
2.427,21.605
2.43,21.605
2.433,21.605
2.436,21.605
2.439,21.605
2.442,21.605
2.445,21.605
2.448,21.605
2.451,21.605
2.454,21.605
2.457,21.605
2.46,21.605
2.463,21.605
2.466,21.605
2.469,21.605
2.472,21.605
2.475,21.605
2.478,21.605
2.481,21.605
2.484,21.605
2.487,21.605
2.49,21.605
2.493,21.605
2.496,21.605
2.499,21.605
2.502,21.605
2.505,21.605
2.508,21.605
2.511,21.605
2.514,21.605
2.517,21.605
2.52,21.605
2.523,21.605
2.526,21.605
2.529,21.605
2.532,21.605
2.535,21.605
2.538,21.605
2.541,21.605
2.544,21.605
2.547,21.605
2.55,21.605
2.553,21.605
2.556,21.605
2.559,21.605
2.562,21.605
2.565,21.605
2.568,21.605
2.571,21.605
2.574,21.605
2.577,21.605
2.58,21.605
2.583,21.605
2.586,21.605
2.589,21.605
2.592,21.605
2.595,21.605
2.598,21.605
2.601,21.605
2.604,21.605
2.607,21.605
2.61,21.605
2.613,21.605
2.616,21.605
2.619,21.605
2.622,21.605
2.625,21.605
2.628,21.605
2.631,21.605
2.634,21.605
2.637,21.605
2.64,21.605
2.643,21.605
2.646,21.605
2.649,21.605
2.652,21.605
2.655,21.605
2.658,21.605
2.661,21.605
2.664,21.605
2.667,21.605
2.67,21.605
2.673,21.605
2.676,21.605
2.679,21.605
2.682,21.605
2.685,21.605
2.688,57.7692
2.691,57.7692
2.694,57.7692
2.697,57.7692
2.7,57.7692
2.703,57.7692
2.706,57.7692
2.709,57.7692
2.712,57.7692
2.715,57.7692
2.718,57.7692
2.721,57.7692
2.724,57.7692
2.727,57.7692
2.73,57.7692
2.733,57.7692
2.736,57.7692
2.739,57.7692
2.742,57.7692
2.745,57.7692
2.748,57.7692
2.751,57.7692
2.754,57.7692
2.757,57.7692
2.76,57.7692
2.763,57.7692
2.766,57.7692
2.769,57.7692
2.772,57.7692
2.775,57.7692
2.778,57.7692
2.781,57.7692
2.784,57.7692
2.787,57.7692
2.79,57.7692
2.793,57.7692
2.796,57.7692
2.799,57.7692
2.802,57.7692
2.805,57.7692
2.808,57.7692
2.811,57.7692
2.814,57.7692
2.817,57.7692
2.82,57.7692
2.823,57.7692
2.826,57.7692
2.829,57.7692
2.832,57.7692
2.835,57.7692
2.838,57.7692
2.841,57.7692
2.844,57.7692
2.847,57.7692
2.85,57.7692
2.853,57.7692
2.856,57.7692
2.859,57.7692
2.862,57.7692
2.865,57.7692
2.868,57.7692
2.871,57.7692
2.874,57.7692
2.877,57.7692
2.88,57.7692
2.883,57.7692
2.886,57.7692
2.889,57.7692
2.892,57.7692
2.895,57.7692
2.898,57.7692
2.901,57.7692
2.904,57.7692
2.907,57.7692
2.91,57.7692
2.913,57.7692
2.916,57.7692
2.919,57.7692
2.922,57.7692
2.925,57.7692
2.928,57.7692
2.931,57.7692
2.934,57.7692
2.937,57.7692
2.94,57.7692
2.943,57.7692
2.946,57.7692
2.949,57.7692
2.952,57.7692
2.955,57.7692
2.958,57.7692
2.961,57.7692
2.964,57.7692
2.967,57.7692
2.97,57.7692
2.973,57.7692
2.976,57.7692
2.979,57.7692
2.982,57.7692
2.985,57.7692
2.988,57.7692
2.991,57.7692
2.994,57.7692
2.997,57.7692
3,57.7692
